Bokmål,Nynorsk,Engelsk,Merknad
blokkmatrise,blokkmatrise,block matrix,
boksplott,boksplott,box plot,
bokstopologi,bokstopologi,box topology,
boltzmannfordeling,boltzmannfordeling, Boltzmann distribution,
boolsk,boolsk,Boolean,
brennpunkt,brennpunkt,focus,
briggsk logaritme,briggsk logaritme,base ten logarithm/common logarithm,"Briggsk logaritme kalles noen ganger <i>Briggsian logarithm</i> på engelsk, og den norske oversettelsen stammer fra dette."
brownsk bevegelse,brownsk rørsle,Brownian motion,
bruddent ideal/brøkideal,brote ideal/brøkideal,fractional ideal,
brøk,brøk,fraction,
brøkkropp,brøkkropp,field of fractions,
brøkmodul,brøkmodul,module of fractions,
brøkring,brøkring,ring of fractions,
bue,boge,arc,
buelengde,bogelengd,arclength,
bunt,bunt,bundle,
båndmatrise,bandmatrise,band matrix,
bølgelengde,bølgjelengd,wavelength,
bølgelikning,bølgjelikning,wave equation,
Cauchy-Riemann-likningene,Cauchy-Riemann-likningane,Cauchy-Riemann equations,
cauchyfølge,cauchyfølgje,Cauchy sequence,
cellekompleks,cellekompleks,cell complex,
cellulær homologi,cellulær homologi,cellular homology,
Cohen-Macaulay-modul,Cohen-Macaulay-modul,Cohen-Macaulay module,
Cohen-Macaulay-ring,Cohen-Macaulay-ring,Cohen-Macaulay ring,
cosekans,cosekans,cosecant,
cosinus,cosinus,cosine,
cosinusrekke,cosinusrekkje,cosine series,
cotangens,cotangens,cotangent,
Cramers regel,Cramers regel,Cramer's rule,
CW-kompleks,CW-kompleks,CW complex,
defekt,defekt,defect,
definisjonsområde,definisjonsområde,domain,
deformasjonsretraksjon,deformasjonsretraksjon,deformation retraction,
deformasjonsretrakt,deformasjonsretrakt,deformation retract,
dekomponerbar,dekomponerbar,decomposable,
dekomponere,dekomponere,decompose,
delbrøk,delbrøk,partial fraction,
delbrøkoppspalting,delbrøkoppspalting,partial fraction decomposition,
delfølge,delfølgje,subsequence,
delhypotese,delhypotese,subhypothesis,
delmengde,delmengd,subset,
deloverdekning,deloverdekking,subcover/subcovering,
delsamling,delsamling,subcollection,
delsum,delsum,partial sum,
delvis integrasjon,delvis integrasjon,integration by parts,
delvis ordnet mengde,delvis ordna mengd,partially ordered set,"Delvis ordnet mengde forkortes ofte til pomengde (bokmål) og pomengd (nynorsk)."
derivasjon,derivasjon,derivation,"De engelske termene <i>derivation</i> og <i>differentiation</i> er ikke synonymer, selv om begge oversettes til det samme på norsk. En derivasjon er en en lineæravbildning som tilfredsstiller Leibniz' regel."
derivasjon,derivasjon,differentiation,"De engelske termene derivation og differentiation er ikke synonymer, selv om begge oversettes til det samme på norsk. <i>Differentiation</i> brukes om det å derivere en funksjon."
deriverbar,deriverbar,differentiable,
derivere,derivere,differentiate,
derivert funktor,derivert funktor,derived functor,
derivert kategori,derivert kategori,derived category,
derivert,derivert,derivative,
determinant,determinant,determinant,
diagonaliserbar,diagonaliserbar,diagonalizable,
diagonalisere,diagonalisere,diagonalize,
diagonalisering,diagonalisering,diagonalization,
diffeomorfi,diffeomorfi,diffeomorphism,
differensial,differensial,differential,
differensialgeometri,differensialgeometri,differential geometry,
differensiallikning,differensiallikning,differential equation,
differensialoperator,differensialoperator,differential operator,
differenslikning,differenslikning,difference equation,
diffusjon,diffusjon,diffusion,
dimensjon,dimensjon,dimension,
dimensjonal,dimensjonal,dimensional,
dimensjonsskift,dimensjonsskift,dimension shift,
Diracs deltafunksjon,Diracs deltafunksjon, Dirac's delta function,
direkte grense,direkte grense,direct limit,
direkte produkt,direkte produkt,direct product,
direkte sum,direkte sum,direct sum,
direkte summand,direkte summand,direct summand,
direkte system,direkte system,direct system,
disjunksjon,disjunksjon,disjunction,
disjunkt union,disjunkt union,disjoint union,
disjunkt,disjunkt,disjoint,
disk,disk,disc,
diskontinuerlig,diskontinuerleg,discontinuous,
diskret topologi,diskret topologi,discrete topology,
diskret valuasjon,diskret valuasjon,discrete valuation,
