Bokmål,Nynorsk,Engelsk,Merknad
kinesisk restteorem,kinesisk restteorem,Chinese remainder theorem,
kjede,kjede,chain,
kjedebetingelse,kjedevilkår,chain condition,
kjedebrøk,kjedebrøk,continued fraction,
kjedekompleks,kjedekompleks,chain complex,
kjegle,kjegle,cone,
kjeglesnitt,kjeglesnitt,conic section,
kjerne,kjerne,kernel,
kjerneregelen,kjerneregelen,chain rule,
kji-kvadrat,kji-kvadrat,chi-squared,
kjikvadratfordeling,kjikvadratfordeling,chi-squared distribution,
klasseintervall,klasseintervall,class interval,
klasseskille,klasseskilje,class boundary,"Oversettelsen gjelder bruk i statistikk, og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
klassetall,klassetal,class number,
Kleins firergruppe,Kleins firergruppe,Klein four-group,
kobilde,kobilete,coimage,
koblet hastighet,kopla hastigheit,related rate,
kodimensjon,kodimensjon,codimension,
kodomene,kodomene,codomain,
koeffisient,koeffisient,coefficient,
koeffisientmatrise,koeffisientmatrise,coefficient matrix,
koenhet,koeining,counit,
kofaktor,kofaktor,cofactor,
kofaktormatrise,kofaktormatrise,cofactor matrix/matrix of cofactors,
kofaktorutvikling,kofaktorutvikling,cofactor expansion,
kogger,kogger,quiver,
kogrense,kogrense,colimit,
koherent,koherent,coherent,
kohomologi,kohomologi,cohomology,
kohomologigruppe,kohomologigruppe,cohomology group,
kokjerne,kokjerne,cokernel,
kolineær/kollineær,kolineær/kollineær,colinear/collinear,"Begge skrivemåtene brukes på norsk, men kolineær anbefales."
kolmogorovrom,kolmogorovrom,Kolmogorov space,
kolonne/søyle,kolonne/søyle,column,
kolonnerom/søylerom,kolonnerom/søylerom,column space,
kolonnevektor/søylevektor,kolonnevektor/søylevektor,column vector,
kombinatorikk,kombinatorikk,combinatorics,
kombinatorisk,kombinatorisk,combinatorial,
kommensurabel/sammenliknbar,kommensurabel/samanliknbar,commensurable,
kommutativ ring,kommutativ ring,commutative ring,
kommutativ,kommutativ,commutative,
kommuterende diagram,kommuterande diagram,commutative diagram,
kompakt,kompakt,compact,
kompakt-åpen-topologi,kompakt-open-topologi,compact-open topology,
kompaktgenerert,kompaktgenerert,compactly generated,
kompakthet,kompaktheit,compactness,
kompaktifisering,kompaktifisering,compactification,
kompleks,kompleks,complex,
komplekskonjugert,komplekskonjugert,complex conjugate,
komplekst plan,komplekst plan,complex plane,
komplekst tall,komplekst tal,complex number,
komplement,komplement,complement,
komplementvinkel,komplementvinkel,complementary angle,"Komplementvinkler kan også omtales som komplementære vinkler."
komplementær,komplementær,complementary,
komplett snitt,komplett snitt,complete intersection,
komplett,komplett,complete,
komplettering,komplettering,completion,
kompletthet,komplettheit,completeness,
komponent,komponent,component,
komposisjon/sammensetning,komposisjon/samansetting,composition,
komposisjonsfaktor,komposisjonsfaktor,composition factor,
komposisjonsrekke,komposisjonsrekkje,composition series,
konfidens,konfidens,confidence,"Oversettelsen gjelder bruk i statistikk, og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
konfidensintervall,konfidensintervall,confidence interval,
konfidensnivå,konfidensnivå,confidence level,
kongruens,kongruens,congruence,
kongruensrelasjon,kongruensrelasjon,congruence relation,
kongruent,kongruent,congruent,
konjugere,konjugere,conjugate,"Ordklasse: verb"
konjugert,konjugert,conjugate,"Ordklasse: adjektiv"
konjunksjon,konjunksjon,conjunction,
konnektiv,konnektiv,connective,
konsistent likningssystem,konsistent likningssystem,consistent system of equations,
kontingenstabell,kontingenstabell,contingency table,
kontinuerlig,kontinuerleg,continuous,
kontinuitet,kontinuitet,continuity,
kontinuitetskorreksjon,kontinuitetskorreksjon,continuity correction,
kontinuum,kontinuum,continuum,
kontravariant funktor,kontravariant funktor,contravariant functor,
konveks,konveks,convex,
konveksitet,konveksitet,convexity,
konvergens,konvergens,convergence,
konvergent,konvergent,convergent,
konvergere,konvergere,converge,
koordinatfunksjon,koordinatfunksjon,coordinate function,
koprodukt,koprodukt,coproduct,
korde,korde,chord,
korestriksjon,korestriksjon,corestriction,
korollar,korollar,corollary,
korrelasjon,korrelasjon,correlation,
korrelasjonskoeffisient,korrelasjonskoeffisient,correlation coefficient,
korrelert,korrelert,correlated,
korteksakt følge,korteksakt følgje,short exact sequence,
koszulkompleks,koszulkompleks,Koszul complex,
kovarians,kovarians,covariance,
kovariant funktor,kovariant funktor,covariant functor,
kritisk verdi,kritisk verdi,critical value,
kropp,kropp,field,"Merk at oversettelsen av <i>field</i> er avhengig av kontekst. En kropp er en kommutativ ring der ethvert ikke-nullelement har en multiplikativ invers. For eksempel utgjør de reelle tall en kropp."
kroppsutvidelse,kroppsutviding,field extension,
Krull-Remak-Schmidt-teoremet,Krull-Remak-Schmidt-teoremet,Krull-Remak-Schmidt theorem,
krulldimensjon,krulldimensjon,Krull dimension,
krumning,krumming,curvature,
kryssprodukt,kryssprodukt,cross product/vector product,
kube,kube,cube,
kubisk,kubisk,cubic,
kumulativ fordeling,kumulativ fordeling,cumulative distribution,
kumulativ fordelingsfunksjon,kumulativ fordelingsfunksjon,cumulative distribution function,
kumulativ frekvens,kumulativ frekvens,cumulative frequency,
kumulativ,kumulativ,cumulative,
kurtose,kurtose,kurtosis,
kurtosekoeffisient,kurtosekoeffisient,coefficient of kurtosis,
kurvetilpasning/regresjonsanalyse,kurvetilpassing/regresjonsanalyse,regression analysis,
kurvilineær modell/kurvlineær modell,kurvilineær modell/kurvlineær modell,curvilinear model,
kvadrat,kvadrat,square,
kvadratisk form,kvadratisk form,quadratic form,
kvadratisk matrise,kvadratisk matrise,square matrix,
kvadratrot,kvadratrot,square root,
kvadratsum,kvadratsum,sum of squares,
kvantor,kvantor,quantifier,
kvartil,kvartil,quartile,
kvartilbredde,kvartilbreidd,fourth spread,
kvasiisomorfi,kvasiisomorfi,quasi-isomorphism,
kvasiregulær,kvasiregulær,quasiregular,
kvoteutvalg,kvoteutval,quota sample,
kvotient,kvotient,quotient,
kvotientavbildning,kvotientavbilding,quotient map,
kvotientgruppe,kvotientgruppe,quotient group,
kvotientmodul,kvotientmodul,quotient module,
kvotientring,kvotientring,quotient ring,
kvotientrom,kvotientrom,quotient space,
køteori,køteori,queuing theory,
laplacetransformasjon,laplacetransformasjon,Laplace transform,
lebesgueintegral,lebesgueintegral,Lebesgue integral,
lebesgueintegrasjon,lebesgueintegrasjon,Lebesgue integration,
lemma,lemma,lemma,
lengde,lengd,length,
leptokurtisk,leptokurtisk,leptokurtic,
liealgebra,liealgebra,Lie algebra,
liegruppe,liegruppe,Lie group,
lieteori,lieteori,Lie theory,
likebeint trekant,likebeina trekant,isosceles triangle,
likesidet trekant,likesida trekant,equilateral triangle,
likhet,likskap,equality,
likhetstegn,likskapsteikn,equality sign,
likning,likning,equation,
likningssystem,likningssystem,system of equations,
linearisere,linearisere,linearize,
linearisering,linearisering,linearization,
lineær form,lineær form,linear form,
lineær modell,lineær modell,linear model,
lineær regresjon,lineær regresjon,linear regression,
lineær,lineær,linear,
lineæravbildning,lineæravbilding,linear map,
lineærkombinasjon,lineærkombinasjon,linear combination,
lineæroperator,lineæroperator,linear operator,
lineærtransformasjon,lineærtransformasjon,linear transformation,
linjalpostulatet,linjalpostulatet,ruler postulate,
linje,linje,line,
liten kategori,liten kategori,small category,
liten undermodul,liten undermodul,small submodule,
log-normal,log-normal,lognormal,
logaritme,logaritme,logarithm,
logaritmisk regresjon,logaritmisk regresjon,logarithmic regression,
logaritmisk vekst,logaritmisk vekst,logarithmic growth,
logikk,logikk,logic,
logistisk funksjon,logistisk funksjon,logistic function,
logistisk kurve,logistisk kurve,logistic curve,
logistisk regresjon,logistisk regresjon,logistic regression,
lokal egenskap,lokal eigenskap,local property,
lokal homeomorfi,lokal homeomorfi,local homeomorphism,
lokal ring,lokal ring,local ring,
lokalisering,lokalisering,localization,
lokalkompakt,lokalkompakt,locally compact,
lokalt enkeltsammenhengende,lokalt enkeltsamanhengande,locally simply connected,
lokalt sammenhengende,lokalt samanhengande,locally connected,
lokalt veisammenhengende,lokalt vegsamanhengande,locally path connected,
lukket avbildning,lukka avbilding,closed map,
lukket under utvidelser,lukka under utvidingar,closed under extensions,
lukket,lukka,closed,
løkke,lykkje,loop,
maksimal undergruppe,maksimal undergruppe,maximal subgroup,
maksimal undermodul,maksimal undermodul,maximal submodule,
maksimalspekter,maksimalspekter,maximal spectrum,
maksimalt ideal,maksimalt ideal,maximal ideal,
maksimum,maksimum,maximum,
mangekant/polygon,mangekant/polygon,polygon,
marginal sannsynlighetstetthet,marginal sannsynstettleik,marginal probability density,
marginal,marginal,marginal,
markovegenskapen,markoveigenskapen,Markov property,
markovkjede,markovkjede,Markov chain,
markovprosess,markovprosess,Markov process,
matrise,matrise,matrix,
matrise/tabell,matrise/tabell,array,
matriselikning,matriselikning,matrix equation,
matriserepresentasjon,matriserepresentasjon,matrix representation,
matrisering,matrisering,matrix ring,
median,median,median,
mengde,mengd,set,
mengdefunksjon,mengdefunksjon,set function,
mengdelære,mengdelære,set theory,
meromorf,meromorf,meromorphic,
metamatematikk,metamatematikk,metamathematics,
metrikk,metrikk,metric,"Ordklasse: substantiv"
metriserbar,metriserbar,metrizable,
metrisk rom,metrisk rom,metric space,
metrisk,metrisk,metric,"Ordklasse: adjektiv"
mettet,metta,saturated,
middelkvadrat,middelkvadrat,mean square,
middelverdisetningen/sekantsetningen,middelverdisetninga/sekantsetninga,mean value theorem,
midtnormal,midtnormal,perpendicular bisector,
midtpunkt,midtpunkt,midrange,"Oversettelsen gjelder bruk i statistikk, og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
minimal primærdekomposisjon,minimal primærdekomposisjon,minimal primary decomposition,
minimalpolynom,minimalpolynom,minimal polynomial,
minimalt ideal,minimalt ideal,minimal ideal,
minimalt primideal,minimalt primideal,minimal prime ideal,
minimum,minimum,minimum,
minimumvariansestimator,minimumvariansestimator,minimum variance estimator,
minor,minor,minor,
minste felles multiplum,minste felles multiplum,least common multiple,
minste kvadraters metode,minste kvadrats metode,method of least squares,
minste øvre skranke,minste øvre skranke,least upper bound,
modalverdi/typetall,modalverdi/typetal,mode,"Oversettelsen gjelder bruk i statistikk, og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger. Typetall (bokmål) og typetal (nynorsk) anbefales."
modelltest/tilpasningstest,modelltest/tilpassingstest,goodness of fit test,
modul,modul,module,
modulhomomorfi,modulhomomorfi,module homomorphism,
modulus,modulus,modulus,
modulær form,modulær form,modular form,
modulær gruppering,modulær gruppering,modular group ring,
moment,moment,moment,"Legg merke til at denne oversettelsen gjelder innen statistikk. I fysikk kan <i>moment</i> referere til det som på norsk kalles bevegelsesmengde (bokmål) og rørslemengd (nynorsk)."
momentgenererende funksjon,momentgenererande funksjon,moment generating function,
momentmetoden,momentmetoden,method of moments,
monisk polynom,monisk polynom,monic polynomial,
monisk,monisk,monic,
monoide,monoide,monoid,
monomorfi,monomorfi,monomorphism,
monoton,monoton,monotone,
moritaekvivalens,moritaekvivalens,Morita equivalence,
motsatt kategori,motsett kategori,opposite category,
motsigelse,motseiing,contradiction,
multinomisk fordeling,multinomisk fordeling,multinomial distribution,
multinomisk koeffisient,multinomisk koeffisient,multinomial coefficient,
multiplikasjonsregel,multiplikasjonsregel,multiplication rule,
multiplikativ delmengde,multiplikativ delmengd,multiplicative subset,
multiplikativt identitetselement,multiplikativt identitetselement,multiplicative identity element,
multiplikativt lukket delmengde,multiplikativt lukka delmengd,multiplicatively closed subset,
multiplikativt system,multiplikativt system,multiplicative system,
multiplisitet,multiplisitet,multiplicity,
multippel lineær regresjon,multippel lineær regresjon,multiple linear regression,
multippelt integral,multippelt integral,multiple integral,
multivariat fordeling,multivariat fordeling,multivariate distribution,
mål,mål,measure,
nabovinkler,nabovinklar,linear pair,
Nakayamas lemma,Nakayamas lemma,Nakayama's lemma,
naturlig isomorfi,naturleg isomorfi,natural isomorphism,
naturlig logaritme,naturleg logaritme,natural logarithm,
naturlig tall,naturleg tal,natural number,
naturlig transformasjon,naturleg transformasjon,natural transformation,
nedre grense,nedre grense,inferior limit/lower limit,
nedre skranke,nedre skranke,lower bound,
negasjon,negasjon,negation,
negativ binomialfordeling,negativ binomialfordeling,negative binomial distribution,
negativt bestemt,negativt bestemd,negative definite,
nevner,nemnar,denominator,
nilpotent,nilpotent,nilpotent,
nilradikal,nilradikal,nilradical,
nivåflate,nivåflate,level surface,
nivåmengde,nivåmengd,level set,
node,node,vertex,
noethersk modul,noethersk modul,Noetherian module,
noethersk ring,noethersk ring,Noetherian ring,
noethersk,noethersk,Noetherian,
norm,norm,norm,
normal matrise,normal matrise,normal matrix,
normal,normal,normal/perpendicular,
normalfordeling,normalfordeling,normal distribution,
normalitetsantakelse,normalitetsantaking,normality assumption,
normalplan,normalplan,normal plane,
normalt rom,normalt rom,normal space,
normaltilnærming,normaltilnærming,normal approximation,
normalvektor,normalvektor,normal vector,
normert,normert,normed,
nulldivisor,nulldivisor,zero divisor,
nullhypotese,nullhypotese,null hypothesis,
nullitet,nullitet,nullity,
nullmatrise,nullmatrise,zero matrix,
nullmengde,nullmengd,null set,
nullmodul,nullmodul,zero module,
nullobjekt,nullobjekt,zero object,
nullrom,nullrom,null space,"I mange tilfeller kan termene nullrom og kjerne brukes synonymt. Hva som er vanlig ordvalg, avhenger av kontekst."
nullvektor,nullvektor,zero vector,
numerisk,numerisk,numerical,
ny prøvetaking,ny prøvetaking,resampling,
observator,observator,statistic,"Oversettelsen gjelder bruk i statistikk, og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
odde funksjon,odde funksjon,odd function,
odde,odde,odd,
odds,odds,odds,
ODE,ODE,ODE,"ODE er en forkortelse for ordinær differensiallikning, og stammer fra <i>ordinary differential equation</i>."
oktaeder,oktaeder,octahedron,
oktaederaksiomet,oktaederaksiomet,octahedral axiom,
oktant,oktant,octant,
omegn,omegn,neighbourhood,
omsenter,omsenter,circumcentre,
omsirkel,omsirkel,circumcircle,
omskrevet sirkel,omskriven sirkel,circumscribed circle,
operator,operator,operator,
opphopningspunkt,opphopingspunkt,accumulation point,
ordinat,ordinat,ordinate,
ordinær differensiallikning,ordinær differensiallikning,ordinary differential equation,"Ordinær differensiallikning forkortes ofte til ODE."
ordnet følge,ordna følgje,ordered sequence,
ordnet par,ordna par,ordered pair,
orebetingelsen,orevilkåret,Ore condition,
orienterbar,orienterbar,orientable,
orienterbarhet,orienterbarheit,orientability,
orientering,orientering,orientation,
orientert,orientert,oriented,
origo,origo,origin,
ortogonal idempotent,ortogonal idempotent,orthogonal idempotent,
ortogonal/vinkelrett,ortogonal/vinkelrett,orthogonal,
ortonormal,ortonormal,orthonormal,
oskulerende plan/smygplan,oskulerande plan/smygplan,osculating plane,
overbestemt likningssystem,overbestemt likningssystem,overdetermined system of equations,
overdekning,overdekking,cover/covering,
overdekningsavbildning,overdekkingsavbilding,covering map,
overdekningsrom,overdekkingsrom,covering space,
overdekningstransformasjon,overdekkingstransformasjon,deck transformation/covering transformation,
overdiagonal,overdiagonal,superdiagonal,
p-adisk heltall,p-adisk heiltal,p-adic integer,
p-adisk topologi,p-adisk topologi,p-adic topology,
p-gruppe,p-gruppe,p-group,
p-primært ideal,p-primært ideal,p-primary ideal,
p-verdi,p-verdi,p-value,
par,par,pair,
parabel,parabel,parabola,
paraboloide,paraboloide,paraboloid,
parabolsk,parabolsk,parabolic,
parakompakt,parakompakt,paracompact,
parallell,parallell,parallel,
parallellepiped,parallellepiped,parallelepiped,
parallellforskyvning,parallellforskyving,translation,
parallellogram,parallellogram,parallelogram,
parameter,parameter,parameter,
parametrisere,parametrisere,parameterize,
parametrisert,parametrisert,parametric,
paretofordeling,paretofordeling,Pareto distribution,
partall,partal,even number,"Partall kan også omtales som like tall (bokmål) og like tal (nynorsk)."
partiell differensiallikning,partiell differensiallikning,partial differential equation,"Partiell differensiallikning forkortes ofte til PDE."
partiellderivert,partiellderivert,partial derivative,
partisjon,partisjon,partition,
partisjonert utvalgsrom,partisjonert utvalsrom,partitioned sample space,
partisjonsfunksjon,partisjonsfunksjon,partition function,
parvis sammenlikning,parvis samanlikning,paired comparison,
PDE,PDE,PDE,"PDE er en forkortelse for partiell differensiallikning, og stammer fra <i>partial differential equation</i>."
per antakelse,per antaking,by assumption,
per definisjon,per definisjon,by definition,
periferivinkel,periferivinkel,inscribed angle,
periodisk funksjon,periodisk funksjon,periodic function,
permutasjon,permutasjon,permutation,
permutasjonsmatrise,permutasjonsmatrise,permutation matrix,
permutere,permutere,permute,
PID,PID,PID,"PID er en forkortelse for hovedidealområde (bokmål) og hovudidealområde (nynorsk), og stammer fra <i>principal ideal domain</i>."
pil,pil,arrow,
pivotelement,pivotelement,pivot element,"Forstavelsen pivot uttales [pivå:’]."
pivotkolonne/pivotsøyle,pivotkolonne/pivotsøyle,pivot column/pivotal column,"Forstavelsen pivot uttales [pivå:’]."
pivotrad,pivotrad,pivot row/pivotal row,"Forstavelsen pivot uttales [pivå:’]."
plan,plan,plane,
planseparasjonspostulatet,planseparasjonspostulatet,plane seperation postulate,
platykurtisk,platykurtisk,platykurtic,
poincarérekke,poincarérekkje,Poincaré series,
poissonfordeling,poissonfordeling,Poisson distribution,
poissonprosess,poissonprosess,Poisson process,
pol,pol,pole,
polarform,polarform,polar form,
polarkoordinater,polarkoordinatar,polar coordinates,
polyeder,polyeder,polyhedron,
polynom,polynom,polynomial,
polynomiell vekst,polynomiell vekst,polynomial growth,
polynomring,polynomring,polynomial ring,
pomengde,pomengd,poset,"Pomengde er en forkortelse for delvis ordnet mengde (bokmål) og delvis ordna mengd (nynorsk), og stammer fra <i>partially ordered set</i>."
populasjon,populasjon,population,
positivt bestemt,positivt bestemd,positive definite,
potens,potens,power,
potensfunksjon,potensfunksjon,power function,
potensial,potensial,potential,
potenskurve,potenskurve,power curve,
potensmengde,potensmengd,power set,
potensmodell,potensmodell,power model,
potensrekke,potensrekkje,power series,
potensrekkering,potensrekkjering,ring of formal power series,
preabelsk kategori,preabelsk kategori,preabelian category,
preadditiv kategori,preadditiv kategori,preadditive category,
predikatlogikk,predikatlogikk,predicate logic,
prediksjon,prediksjon,prediction,
prediksjonsintervall,prediksjonsintervall,prediction interval,
preknippe,preknippe,presheaf,
prekompakt,prekompakt,precompact,
prikkprodukt,prikkprodukt,dot product,
primelement,primelement,prime element,
primideal,primideal,prime ideal,
primitiv idempotent,primitiv idempotent,primitive idempotent,
primspekter,primspekter,prime spectrum,
primtall,primtal,prime/prime number,
primtallspotens,primtalspotens,prime power,
primtallssatsen/primtallsteoremet,primtalssatsen/primtalsteoremet,prime number theorem,
primærdekomposisjon,primærdekomposisjon,primary decomposition,
primært ideal,primært ideal,primary ideal,
prinsipalverdi,prinsipalverdi,principal value,
produkt,produkt,product,
produkttopologi,produkttopologi,product topology,
prognose,prognose,forecast,
projeksjon,projeksjon,projection,
projeksjonsavbildning,projeksjonsavbilding,projection map,
projektiv dimensjon,projektiv dimensjon,projective dimension,
projektiv modul,projektiv modul,projective module,
projektiv oppløsning,projektiv oppløysing,projective resolution,
projektiv varietet,projektiv varietet,projective variety,
projektiv,projektiv,projective,
projektivisering,projektivisering,projectivization,
projektivt dekke,projektivt dekke,projective cover,
projektivt objekt,projektivt objekt,projective object,
projektivt rom,projektivt rom,projective space,
projisere,projisere,project,
proporsjon,proporsjon,proportion,
proposisjon/utsagn,proposisjon/utsegn,proposition,
prosentil,prosentil,percentile,"Både persentil og percentil forekommer også i bruk på norsk, men prosentil anbefales."
prosentilskjema,prosentilskjema,percentile graph,"Både persentilskjema og percentilskjema forekommer også i bruk på norsk, men prosentilskjema anbefales."
prøvetakingsfordeling,prøvetakingsfordeling,sampling distribution,
pseudoinvers,pseudoinvers,pseudoinverse,
punkt,punkt,point,
punktestimering,punktestimering,point estimation,
punktkonstruksjonspostulatet,punktkonstruksjonspostulatet,point construction postulate,
punktplott,punktplott,dot plot,
punktvis,punktvis,pointwise,
på,på,onto,"Synonym: surjektiv"
pålitelighet,pålitelegheit,reliability,
rad,rad,row,
radekvivalent matrise,radekvivalent matrise,row equivalent matrix,
radian,radian,radian,
radiell,radiell,radial,
radikal,radikal,radical,
radikand,radikand,radicand,
radius,radius,radius,
radoperasjon,radoperasjon,row operation,
radredusering,radredusering,row reduction,
radrom,radrom,row space,
radvektor,radvektor,row vector,
rand,rand,boundary,
randbetingelse,randvilkår,boundary condition,
randhomomorfi,randhomomorfi,boundary homomorphism,
randoperator,randoperator,boundary operator,
randverdi,randverdi,boundary value,
rang,rang,rank,
rasjonal funksjon,rasjonal funksjon,rational function,
rasjonalt tall,rasjonalt tal,rational number,
rask fouriertransformasjon,rask fouriertransformasjon,fast Fourier transform,
realdel,realdel,real part,
reduktiv algebraisk gruppe,reduktiv algebraisk gruppe,reductive algebraic group,
reduktiv liealgebra,reduktiv liealgebra,reductive Lie algebra,
reduktiv liegruppe,reduktiv liegruppe,reductive Lie group,
reduktivt gruppeskjema,reduktivt gruppeskjema,reductive group scheme,
redusert ring,redusert ring,reduced ring,
redusert trappeform,redusert trappeform,reduced row echelon form,
reell,reell,real,
reelt tall,reelt tal,real number,
refleksiv,refleksiv,reflexive,
reflektert brownsk bevegelse,reflektert brownsk rørsle, reflected Brownian motion,
regresjon,regresjon,regression,
regulær ring,regulær ring,regular ring,
regulært rom,regulært rom,regular space,
rekke,rekkje,series,
rekkevidde,rekkjevidde,range,
rekurrens,rekurrens,recurrence,
rekurrensrelasjon,rekurrensrelasjon,recurrence relation,
rekursiv,rekursiv,recursive,
rekursjon,rekursjon,recursion,
rekursjonsteori,rekursjonsteori,recursion theory,
relasjon,relasjon,relation,
renormalisering,renormalisering,renormalization,
representasjon,representasjon,representation,
representasjonstype,representasjonstype,representation type,
representativt utvalg,representativt utval,representative sample,
residualplott,residualplott,residual plot,
restklasse,restklasse,coset,
restriksjon,restriksjon,restriction,
retningsderivert,retningsderivert,directional derivative,
retraksjon,retraksjon,retraction,
retrakt,retrakt,retract,
rett vinkel,rett vinkel,right angle,
rettet mengde,retta mengd,directed set,
reversibel prosess,reversibel prosess,reversible process,
Riemann-hypotesen,Riemann-hypotesen,Riemann hypothesis,
riemannhypotesen,riemannhypotesen,Riemann hypothesis,
riemannintegral,riemannintegral,Riemann integral,
riemannintegrasjon,riemannintegrasjon,Riemann integration,
ring,ring,ring,
ringen av gaussiske heltall,ringen av gaussiske heiltal,ring of Gaussian integers,
ringhomomorfi,ringhomomorfi,ring homomorphism,
risikofunksjon,risikofunksjon,risk function,
robust,robust,robust,
rom,rom,space,
rot,rot,root,
rotasjon,rotasjon,curl,"Curl brukes også på norsk, men rotasjon anbefales."
rotasjon,rotasjon,rotation,
rottesten,rottesten,root test,
sadelpunkt/salpunkt,salpunkt,saddle point,"Begge skrivemåtene brukes på bokmål, men salpunkt anbefales."
samling,samling,collection,
sammenføyningshomomorfi,samanføyingshomomorfi,connecting homomorphism,
sammenhengende,samanhengande,connected,
sammenhengskomponent,samanhengskomponent,connected component,
sammensatt funksjon,samansett funksjon,composite function,
sammensatt tall,samansett tal,composite number,
sammenslått,samanslege,pooled,"Oversettelsen gjelder bruk i statistikk, og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
sammentrekkbar,samantrekkbar,contractible,
samspill,samspel,interaction,
samtidig/simultan,samtidig/simultan,simultaneous,
sann,sann,true,
sannhetstabell,sanningstabell,truth table,
sannsynlighet,sannsyn,likelihood,
sannsynlighet,sannsyn,probability,
sannsynlighetsfordeling,sannsynsfordeling,probability distribution,
sannsynlighetsmaksimeringsestimat,sannsynsmaksimeringsestimat,maximum likelihood estimate,
sannsynlighetsmaksimeringsestimator,sannsynsmaksimeringsestimator,maximum likelihood estimator,
sannsynlighetsteori,sannsynsteori,probability theory,
sannsynlighetstetthet,sannsynstettleik,probability density function,
Schurs lemma,Schurs lemma,Schur's lemma,
seksjon,seksjon,section,
selvadjungert,sjølvadjungert,self-adjoint,
semigruppe,semigruppe,semigroup,
semilokal ring,semilokal ring,semi-local ring,
semilokalt enkeltsammenhengende,semilokalt enkeltsamanhengande,semilocally simply connected,
seminegativt bestemt,seminegativt bestemd,negative semidefinite,
seminorm,seminorm,seminorm,
semipositivt bestemt,semipositivt bestemd,positive semidefinite,
semisimpel algebra,semisimpel algebra,semisimple algebra,
semisimpel modul,semisimpel modul,semisimple module,
semisimpel ring,semisimpel ring,semisimple ring,
semisimpel,semisimpel,semisimple,
sentral idempotent,sentral idempotent,central idempotent,
sentralgrenseteoremet,sentralgrenseteoremet,central limit theorem,
separabel utvidelse,separabel utviding,separable extension,
separabelt rom,separabelt rom,separable space,
separasjon,separasjon,separation,
sesquilineær form,sesquilineær form,sesquilinear form,
sfære,sfære,sphere,
signifikant,signifikant,significant,
simpel gruppe,simpel gruppe,simple group,
simpel modul,simpel modul,simple module,
simpel undergruppe,simpel undergruppe,simple subgroup,
simpel undermodul,simpel undermodul,simple submodule,
simpleks,simpleks,simplex,
simplisialkompleks,simplisialkompleks,simplicial complex,
simplisiell homologi,simplisiell homologi,simplicial homology,
simultanfordeling,simultanfordeling,joint distribution,
simultant kontinuerlig,simultant kontinuerleg,jointly continuous,
simultantetthet,simultantettleik,joint density,
singularitet,singularitet,singularity,
singulær homologi,singulær homologi,singular homology,
singulær,singulær,singular,
singulært kompleks,singulært kompleks,singular complex,
sinus,sinus,sine,
sinusfunksjon/sinuskurve,sinusfunksjon/sinuskurve,sinusoid,
sinusliknende,sinusliknande,sinusoidal,
sinusrekke,sinusrekkje,sine series,
sirkel,sirkel,circle,
sirkelring,sirkelring,annulus,
skalar,skalar,scalar,
skalarfelt,skalarfelt,scalar field,
skalarprodukt,skalarprodukt,scalar product,
skalering,skalering,scaling,
skaleringsegenskap,skaleringseigenskap,scaling property,
skedastisk,skedastisk,scedastic,
skjelett,skjelett,skeleton,
skjema,skjema,scheme,
skjev fordeling,skeiv fordeling,skewed distribution,
skjevhet,skeivskap,skewness,
skjevhetskoeffisient,skeivskapskoeffisient,coefficient of skewness,
skjevsymmetrisk matrise,skeivsymmetrisk matrise,skew-symmetric matrix,
skjæringspunkt,skjeringspunkt,intercept/point of intersection,
slangelemmaet,slangelemmaet,snake lemma,
smashprodukt,smashprodukt,smash product,
små talls lov,lova om små tal,law of small numbers,
snitt,snitt,intersection,
sokkel,sokkel,socle,
speiling,spegling,reflection,
spekter/spektrum,spekter/spektrum,spectrum,
spenn,spenn,span,"Ordklasse: substantiv"
spennmengde/utspenningsmengde,spennmengd/utspenningsmengd,spanning set,
spiss vinkel,spiss vinkel,acute angle,
splittepimorfi,splittepimorfi,split epimorphism,
splittmonomorfi,splittmonomorfi,split monomorphism,
spredning,spreiing,dispersion,
spredningsplott,spreiingsplott,scatter diagram,
standard gammafordeling,standard gammafordeling,standard gamma distribution,
standardavvik,standardavvik,standard deviation,
standardfeil,standardfeil,standard error,
stasjonært punkt,stasjonært punkt,stationary point,
statistikk,statistikk,statistics,
statistisk signifikant,statistisk signifikant,statistically significant,
stigningstall,stigingstal,slope,
stokastisk matrise,stokastisk matrise,stochastic matrix,
stokastisk prosess,stokastisk prosess,stochastic process,
stokastisk uavhengig,stokastisk uavhengig,stochastically independent,
stokastisk variabel,stokastisk variabel,stochastic variable,
stokastisk variabel/tilfeldig variabel,stokastisk variabel/tilfeldig variabel,random variable/stochastic variable,
stokastisk,stokastisk,stochastic,
store talls lov,lova om store tal,law of large numbers,
storsirkel,storsirkel,great circle,
streng ulikhet,streng ulikskap,strict inequality,
strengt avtagende,strengt minkande,strictly decreasing,
strengt voksende,strengt veksande,stricly increasing,
stråle,stråle,ray,
studentisert rekkevidde,studentisert rekkjevidde,studentized range,
Students t-fordeling,Students t-fordeling,Student's t-distribution,
Students t-forhold,Students t-forhold,Student's t-ratio,
